Id,Name,Place,Type,Price,ReviewsCount,Rating,City,State
398,B&B Utrecht Domkwartier,City Centre; Utrecht,Large Double Room,14461,241,8.7,City Centre, Utrecht
399,Hotel Museumkwartier Utrecht,City Centre; Utrecht,Twin Room with City View,14614,656,8.8,City Centre, Utrecht
400,Grand Hotel Karel V,City Centre; Utrecht,Standard Double or Twin Room,15597,500,8.9,City Centre, Utrecht
401,Strowis Hostel,City Centre; Utrecht,Standard Twin Room with Shared Bathroom,7772,555,8.2,City Centre, Utrecht
402,Carlton President,West; Utrecht,Standard Twin Room,9552,500,8.4,West, Utrecht
403,Moxy Utrecht,Zuid; Utrecht,Queen Room,9079,895,8.4,Zuid, Utrecht
404,BUNK Hotel Utrecht,City Centre; Utrecht,Bunk Room,9797,3250,8.4,City Centre, Utrecht
405,City Center Lodge Utrecht,Utrecht,bunk,10205,265,8.2,Utrecht,
406,Hotel Mitland,Noordoost; Utrecht,Deluxe Double Room Ground Floor,10836,500,8.3,Noordoost, Utrecht
407,Hampton By Hilton Utrecht Centraal Station,City Centre; Utrecht,Queen Room,11430,500,8.4,City Centre, Utrecht
408,Vakantiewoning Valkenburg,Valkenburg,Two-Bedroom Apartment,10369,500,9.2,Valkenburg,
409,Appartementen Leonardus,Valkenburg,One-Bedroom Apartment,11348,612,9.1,Valkenburg,
410,Villa R einald,Valkenburg,Deluxe King Room,13838,22,9.1,Valkenburg,
411,Pension Auberge de Dael,Valkenburg,Double Room with Private Bathroom,8899,556,8.5,Valkenburg,
412,Hotel De Wilde Kriek - before De Karsteboom,Valkenburg,Small Double Room,9797,524,8.6,Valkenburg,
413,Boutique Hotel Scheepers,Valkenburg,Economy Double Room,13838,1125,8.6,Valkenburg,
414,De Heek,Valkenburg,Comfort Double Room with Shower,15675,346,8.6,Valkenburg,
415,Château St. Gerlach,Valkenburg,One-Bedroom Apartment,25228,500,8.6,Valkenburg,
416,Huis Ter Geul,Valkenburg,Double Room,7838,500,8.1,Valkenburg,
417,Hotel Valkenburg by Mercure,Valkenburg,Comfort Double Room,10287,2760,8.1,Valkenburg,
418,Hotel Hulsman,Valkenburg,Standard Double Room with Rain Shower,11022,993,8.4,Valkenburg,
419,Hampshire Hotel – Voncken Valkenburg,Valkenburg,Double Room,14696,753,8,Valkenburg,
420,Hotel Lahaye,Valkenburg,Standard Double Room with Shared Bathroom,4490,903,7.7,Valkenburg,
421,Grand Hotel Monopole,Valkenburg,Comfort Double Room,7348,988,7.9,Valkenburg,
422,Dormio Wijnhotel Valkenburg,Valkenburg,Standard Queen Room,8083,739,7.6,Valkenburg,
423,Hotel Dupuis,Valkenburg,Quadruple Room with Bunk Beds and Shared Bathroom,10695,611,7.9,Valkenburg,
424,Mimosa Hotel,Valkenburg,Standard Double Room with Shared Bathroom,10777,542,7.6,Valkenburg,
425,Hotel de L'Empereur,Valkenburg,Standard Double Room,11838,38,7.9,Valkenburg,
426,Atlas Hotel,Valkenburg,Classic Double Room,13063,2102,7.8,Valkenburg,
427,Hotel La Casa,Valkenburg,Family Room,14892,827,7.8,Valkenburg,
428,Hotel Atlanta,Valkenburg,Standard Double Room,16818,1355,7.9,Valkenburg,
429,Parkhotel Valkenburg,Valkenburg,Standard Double Room,19908,500,7.8,Valkenburg,
430,Hotel Rido,Valkenburg,Twin Room with Shared Bathroom,5715,241,7.3,Valkenburg,
431,Hotel Schaepkens van St Fijt,Valkenburg,Standard Double Room,13961,500,7,Valkenburg,
432,Hotel Gaudi,Valkenburg,Budget Double Room with Shared Bathroom,8368,386,6.8,Valkenburg,
433,Zeilschip Lucia,Vlissingen,Mobile Home,17635,5,9.6,Vlissingen,
434,De Gevangentoren Suite,Vlissingen,Deluxe Suite with Sea View,33624,172,9.5,Vlissingen,
435,Westerschelde B&B,Vlissingen,Double Room with Balcony (2 Adults + 1 Child),8151,500,9.2,Vlissingen,
436,Anna van Chiel,Vlissingen,Junior Suite,12619,43,9.3,Vlissingen,
437,Hotel de Timmerfabriek I Kloeg Collection,Vlissingen,Court Lodge,13052,500,8.6,Vlissingen,
438,La vie Est Belle Vlissingen,Vlissingen,Two-Bedroom Chalet,14813,500,8.7,Vlissingen,
439,Rijksmonument Havenzicht; met zeezicht; ligging direct aan zee en centrum,Vlissingen,Six-Bedroom House,32135,,8.5,Vlissingen,
